SIGi001-A-2	SAMEA4451116###iPSC0028 SLC17A7/GFP C3	SAMEA4451116
SIGi001-A-3	SAMEA4448571###iPSC0028 MAPT P301L C4	SAMEA4448571
SIGi001-A-4	SAMEA4448632###iPSC0028 MAPT P301L D4	SAMEA4448632
SIGi001-A-5	SAMEA4448708###iPSC0028 MAPT P301S 1C9C4	SAMEA4448708
SIGi001-A-6	SAMEA4447426###iPSC0028 MAPT P301S 1B9C9	SAMEA4447426
SIGi001-A-7	SAMEA4448730###iPSC0028 MAPT P301S 2G2B7	SAMEA4448730
SIGi001-A-8	SAMEA4448777###iPSC0028 MAPT P301S+Ex10+16/Clone 7D11A7	SAMEA4448777
SIGi001-A-9	SAMEA4447499###iPSC0028 MAPT P301S+Ex10+16/Clone 7H6A1	SAMEA4447499
UCLi001-A	SAMEA3174455###HHItC9S-V19	SAMEA3174455
UCLi003-A	SAMEA3174519###TSM(exon10+16)V97	SAMEA3174519
UCLi004-A	SAMEA3964268###RCi173###RCFB60c6	SAMEA3964268
UCLi004-B	SAMEA4084285###RCFB60c7###RCi177	SAMEA4084285
UCLi004-C	SAMEA4085372###RCi172###RCFB60c2	SAMEA4085372
UKBi001-A	SAMEA2614016###iLB-MJD2-29m-r2	SAMEA2614016
UKBi001-B	SAMEA3855072	SAMEA3855072
UKBi002-A	SAMEA2590957###iLB-C2-36m-r2	SAMEA2590957
UKBi003-A	SAMEA2614075###iLB-MJD1-32m-r9###LB-32-r9	SAMEA2614075
UKBi004-A	SAMEA4583828###LB-30-12###iLB-C1-30m-r12	SAMEA4583828
UKBi005-A	SAMEA4584351###iLB-C-31f-r1###LB-31-1	SAMEA4584351
UKBi006-A	SAMEA2590936###iLB-C-35m-r1###LB-35-1	SAMEA2590936
UKBi007-A	SAMEA2825788###LB-33-5###iLB-MJD3-33f-r5	SAMEA2825788
UKBi008-A	SAMEA2590882###iLB-MJD4-34m-r1###LB-34-1	SAMEA2590882
UKBi010-A	SAMEA104008300###iLB-DS-95f-r8	SAMEA104008300
UKKi006-A	SAMEA2825851###D4-cB###M4C4###NP0053-5	SAMEA2825851
UKKi007-A	SAMEA2629464###NP0014-6###UKK007Ai	SAMEA2629464
UKKi007-B	SAMEA2698638###NP0014-5	SAMEA2698638
UKKi008-A	SAMEA4583697###NP0016-3	SAMEA4583697
UKKi009-A	SAMEA4583816###NP0011-8	SAMEA4583816
UKKi009-B	SAMEA2825897###NP0011-19	SAMEA2825897
UKKi011-A	SAMEA2774610###NP0040-8	SAMEA2774610
UKKi012-A	SAMEA2825964###NP0041-17###NP0041	SAMEA2825964
UNEWi001-A	SAMEA2629641###UNEW001Ai	SAMEA2629641
UNEWi002-A	SAMEA2629491###UNEW002Ai###PRPF31 AW	SAMEA2629491
UNEWi004-A	SAMEA3275846###PRPF31 SH	SAMEA3275846
UNEWi005-A	SAMEA3275904###PRPF31 RH	SAMEA3275904
UNEWi017-A	SAMEA3142096	SAMEA3142096
UNEWi018-A	SAMEA3142165	SAMEA3142165
UNEWi019-A	SAMEA3275958	SAMEA3275958
UNEWi021-A	SAMEA4092799###F018 13.2	SAMEA4092799
UNEWi021-B	SAMEA4092819###F018 15.8	SAMEA4092819
UNEWi021-C	SAMEA4092855###F018 17/8-1	SAMEA4092855
UNEWi022-A	SAMEA4092883###F181 5.8	SAMEA4092883
UNEWi022-B	SAMEA4092901###F181 18.2	SAMEA4092901
UNEWi022-C	SAMEA4092914###F181 25.7	SAMEA4092914
UNEWi023-A	SAMEA4567585###F343 clone 2	SAMEA4567585
UNEWi023-B	SAMEA4567587###F343 clone 3	SAMEA4567587
UNEWi023-C	SAMEA4567588###F343 clone 4	SAMEA4567588
UNEWi024-A	SAMEA4446992###F180-1	SAMEA4446992
UNEWi024-B	SAMEA4447006###F180-2	SAMEA4447006
UNEWi024-C	SAMEA4447024###F180-3	SAMEA4447024
UNEWi025-A	SAMEA4447907###F324 5.8	SAMEA4447907
UNEWi025-B	SAMEA4447908###F324 12.8	SAMEA4447908
UNEWi025-C	SAMEA4447909###F324 19.7	SAMEA4447909
UNEWi026-A	SAMEA4567589###SF116 clone 1	SAMEA4567589
UNEWi026-B	SAMEA4567590###SF116 clone 2	SAMEA4567590
UNEWi026-C	SAMEA4567591###SF116 clone K	SAMEA4567591
UNEWi027-A	SAMEA4458542###F116	SAMEA4458542
UOXFi001-A	SAMEA4453897###MK071-1	SAMEA4453897
UOXFi001-C	SAMEA4453901###MK071-5	SAMEA4453901
UOXFi001-D	SAMEA4454476###MK071-6	SAMEA4454476
WTSIi001-A	SAMEA2547633###HPSI1213i-pahc_4	SAMEA2547633
WTSIi002-A	SAMEA2590621###HPSI0913i-eika_2	SAMEA2590621
WTSIi003-A	SAMEA2518322###HPSI1213i-hehd_2	SAMEA2518322
WTSIi004-A	SAMEA2464810###HPSI1113i-qolg_3	SAMEA2464810
WTSIi004-B	SAMEA2464797###HPSI1113i-qolg_1	SAMEA2464797
WTSIi005-A	SAMEA2533339###HPSI1113i-podx_1	SAMEA2533339
WTSIi005-B	SAMEA2533336###HPSI1113i-podx_2	SAMEA2533336
WTSIi006-A	SAMEA2445790###HPSI1113i-hayt_1	SAMEA2445790
WTSIi006-B	SAMEA2445784###HPSI1113i-hayt_3	SAMEA2445784
WTSIi007-A	SAMEA2459961###HPSI1113i-dons_1	SAMEA2459961
WTSIi008-A	SAMEA2547622###HPSI1013i-kuxp_1	SAMEA2547622
WTSIi009-A	SAMEA2593858###HPSI0913i-diku_1	SAMEA2593858
WTSIi010-A	SAMEA2645811###HPSI0314i-xugn_1	SAMEA2645811
WTSIi010-B	SAMEA2645809###HPSI0314i-xugn_2	SAMEA2645809
WTSIi011-A	SAMEA2707507###HPSI0314i-qonc_2	SAMEA2707507
WTSIi011-B	SAMEA2707499###HPSI0314i-qonc_1	SAMEA2707499
WTSIi012-A	SAMEA2675459###HPSI0314i-bubh_1	SAMEA2675459
WTSIi012-B	SAMEA2698309###HPSI0314i-bubh_3	SAMEA2698309
WTSIi013-A	SAMEA2645814###HPSI0214i-kucg_2	SAMEA2645814
WTSIi014-A	SAMEA2627578###HPSI0214i-heja_2	SAMEA2627578
WTSIi014-B	SAMEA2627577###HPSI0214i-heja_1	SAMEA2627577
WTSIi015-A	SAMEA2555012###HPSI0114i-rozh_5	SAMEA2555012
WTSIi015-B	SAMEA2555017###HPSI0114i-rozh_4	SAMEA2555017
WTSIi016-A	SAMEA2570435###HPSI0114i-oevr_3	SAMEA2570435
WTSIi017-A	SAMEA2536404###HPSI0114i-lexy_2	SAMEA2536404
WTSIi017-B	SAMEA2536416###HPSI0114i-lexy_1	SAMEA2536416
WTSIi018-A	SAMEA2547644###HPSI0114i-kolf_3	SAMEA2547644
WTSIi018-B	SAMEA2547615###HPSI0114i-kolf_2	SAMEA2547615
WTSIi019-A	SAMEA2536410###HPSI0114i-iisa_3	SAMEA2536410
WTSIi019-B	SAMEA2536412###HPSI0114i-iisa_1	SAMEA2536412
WTSIi020-A	SAMEA2536417###HPSI0114i-eipl_1	SAMEA2536417
WTSIi020-B	SAMEA2536405###HPSI0114i-eipl_3	SAMEA2536405
WTSIi021-A	SAMEA2518332###HPSI1013i-wuye_2	SAMEA2518332
WTSIi021-B	SAMEA2518334###HPSI1013i-wuye_3	SAMEA2518334
WTSIi022-A	SAMEA2613912###HPSI1013i-yemz_1	SAMEA2613912
WTSIi022-B	SAMEA2613897###HPSI1013i-yemz_3	SAMEA2613897
WTSIi023-A	SAMEA2570432###HPSI0114i-zapk_3	SAMEA2570432
WTSIi023-B	SAMEA2570426###HPSI0114i-zapk_2	SAMEA2570426
WTSIi024-A	SAMEA2595426###HPSI0114i-vabj_3	SAMEA2595426
WTSIi025-A	SAMEA2474458###HPSI1013i-pamv_1	SAMEA2474458
WTSIi025-B	SAMEA2474454###HPSI1013i-pamv_3	SAMEA2474454
WTSIi026-A	SAMEA2698315###HPSI0314i-hoik_1	SAMEA2698315
WTSIi027-A	SAMEA2547899###HPSI0913i-oapg_5	SAMEA2547899
WTSIi028-A	SAMEA2459959###HPSI1213i-babk_2	SAMEA2459959
WTSIi029-A	SAMEA2398552###HPSI1013i-garx_2	SAMEA2398552
WTSIi030-A	SAMEA2678738###HPSI0214i-pelm_3	SAMEA2678738
WTSIi030-B	SAMEA2678742###HPSI0214i-pelm_1	SAMEA2678742
WTSIi031-A	SAMEA2719619###HPSI0314i-bipt_1	SAMEA2719619
WTSIi032-A	SAMEA2433568###HPSI1113i-bima_1	SAMEA2433568
WTSIi033-A	SAMEA2398632###HPSI1013i-aetc_1	SAMEA2398632
WTSIi034-A	SAMEA2397798###HPSI0913i-kojv_2	SAMEA2397798
WTSIi035-A	SAMEA2398905###HPSI0913i-gooj_1	SAMEA2398905
WTSIi036-A	SAMEA2469767###HPSI1113i-waus_1	SAMEA2469767
WTSIi037-A	SAMEA2536413###HPSI0114i-zoxy_3	SAMEA2536413
WTSIi038-A	SAMEA2445787###HPSI1113i-ieki_3	SAMEA2445787
WTSIi038-B	SAMEA2445779###HPSI1113i-ieki_2	SAMEA2445779
WTSIi039-A	SAMEA2398080###HPSI1013i-wopl_1	SAMEA2398080
WTSIi040-A	SAMEA2658084###HPSI0314i-qaqx_1	SAMEA2658084
WTSIi041-A	SAMEA2518325###HPSI0114i-bezi_1	SAMEA2518325
WTSIi042-A	SAMEA2399463###HPSI1013i-jufd_2	SAMEA2399463
WTSIi042-B	SAMEA2399461###HPSI1013i-jufd_3	SAMEA2399461
WTSIi044-A	SAMEA2645805###HPSI0214i-eiwy_1	SAMEA2645805
WTSIi045-A	SAMEA2658090###HPSI0214i-heth_1	SAMEA2658090
WTSIi046-A	SAMEA2627567###HPSI0214i-wibj_2	SAMEA2627567
WTSIi046-B	SAMEA2627566###HPSI0214i-wibj_1	SAMEA2627566
WTSIi047-A	SAMEA3355549###HPSI0814i-bokz_5	SAMEA3355549
WTSIi047-B	SAMEA3355550###HPSI0814i-bokz_6	SAMEA3355550
WTSIi048-A	SAMEA2632921###HPSI0214i-datg_2	SAMEA2632921
WTSIi049-A	SAMEA3312840###HPSI0514i-wiii_2	SAMEA3312840
WTSIi049-B	SAMEA3316296###HPSI0514i-wiii_3	SAMEA3316296
WTSIi050-A	SAMEA3335591###HPSI1014i-toss_3	SAMEA3335591
WTSIi051-A	SAMEA2464819###HPSI1113i-uofv_1	SAMEA2464819
WTSIi052-A	SAMEA3311866###HPSI1114i-ziyn_6	SAMEA3311866
WTSIi053-A	SAMEA2677117###HPSI0413i-corn_1	SAMEA2677117
WTSIi054-A	SAMEA2399199###HPSI0413i-nudd_1	SAMEA2399199
WTSIi054-B	SAMEA2398822###HPSI0413i-nudd_6	SAMEA2398822
WTSIi055-A	SAMEA2399146###HPSI0513i-debk_9	SAMEA2399146
WTSIi056-A	SAMEA2398050###HPSI0513i-dipe_1	SAMEA2398050
WTSIi057-B	SAMEA2398296###HPSI0513i-giuf_1	SAMEA2398296
WTSIi058-A	SAMEA2399150###HPSI0513i-suzg_3	SAMEA2399150
WTSIi059-A	SAMEA2398838###HPSI0513i-uilw_1	SAMEA2398838
WTSIi060-A	SAMEA2398734###HPSI0513i-veqz_6	SAMEA2398734
WTSIi061-A	SAMEA2397967###HPSI0513i-veve_2	SAMEA2397967
WTSIi062-A	SAMEA2459960###HPSI0513i-zaui_3	SAMEA2459960
WTSIi063-A	SAMEA2398691###HPSI0613i-aevs_1	SAMEA2398691
WTSIi064-A	SAMEA2398251###HPSI0613i-bohf_1	SAMEA2398251
WTSIi065-A	SAMEA2399151###HPSI0613i-eojr_2	SAMEA2399151
WTSIi065-B	SAMEA2398291###HPSI0613i-eojr_3	SAMEA2398291
WTSIi066-A	SAMEA2398252###HPSI0613i-febc_1	SAMEA2398252
WTSIi066-B	SAMEA2399014###HPSI0613i-febc_2	SAMEA2399014
WTSIi067-A	SAMEA2399242###HPSI0713i-foop_1	SAMEA2399242
WTSIi067-B	SAMEA2398732###HPSI0713i-foop_2	SAMEA2398732
WTSIi068-A	SAMEA2399222###HPSI0613i-giuo_5	SAMEA2399222
WTSIi068-B	SAMEA2398834###HPSI0613i-giuo_4	SAMEA2398834
WTSIi069-A	SAMEA2398257###HPSI0613i-hegp_3	SAMEA2398257
WTSIi070-A	SAMEA2397851###HPSI0713i-terl_1	SAMEA2397851
WTSIi070-B	SAMEA2398335###HPSI0713i-terl_2	SAMEA2398335
WTSIi071-A	SAMEA2625592###HPSI0913i-lise_1	SAMEA2625592
WTSIi071-B	SAMEA2625589###HPSI0913i-lise_3	SAMEA2625589
WTSIi072-A	SAMEA2547619###HPSI0114i-fikt_3	SAMEA2547619
WTSIi073-A	SAMEA2627569###HPSI0314i-sojd_3	SAMEA2627569
WTSIi073-B	SAMEA2627571###HPSI0314i-sojd_2	SAMEA2627571
WTSIi074-A	SAMEA2547637###HPSI0114i-joxm_1	SAMEA2547637
WTSIi075-A	SAMEA2627141###HPSI0114i-vass_1	SAMEA2627141
WTSIi076-A	SAMEA2658107###HPSI0214i-kehc_2	SAMEA2658107
WTSIi077-A	SAMEA2682671###HPSI0314i-cuhk_1	SAMEA2682671
WTSIi078-A	SAMEA2711371###HPSI0314i-fafq_1	SAMEA2711371
WTSIi079-A	SAMEA2609971###HPSI1013i-hiaf_2	SAMEA2609971
WTSIi080-A	SAMEA2420640###HPSI1013i-sebz_1	SAMEA2420640
WTSIi081-A	SAMEA2609965###HPSI1113i-qorq_2	SAMEA2609965
WTSIi081-B	SAMEA2609972###HPSI1113i-qorq_1	SAMEA2609972
