WTSIi169-B	SAMEA3854313###HPSI0614i-miaj_4	SAMEA3854313
WTSIi170-A	SAMEA3974244###HPSI1213i-tolg_4	SAMEA3974244
WTSIi170-B	SAMEA3974241###HPSI1213i-tolg_6	SAMEA3974241
WTSIi171-A	SAMEA4089453###HPSI0914i-zerv_7	SAMEA4089453
WTSIi171-B	SAMEA4089454###HPSI0914i-zerv_8	SAMEA4089454
WTSIi172-A	SAMEA3853161###HPSI0914i-laey_6	SAMEA3853161
WTSIi172-B	SAMEA3853157###HPSI0914i-laey_4	SAMEA3853157
WTSIi173-A	SAMEA3962372###HPSI0414i-naju_1	SAMEA3962372
WTSIi174-A	SAMEA3962562###HPSI0614i-paab_4	SAMEA3962562
WTSIi174-B	SAMEA3962561###HPSI0614i-paab_3	SAMEA3962561
WTSIi175-A	SAMEA3962389###HPSI1014i-tixi_4	SAMEA3962389
WTSIi176-A	SAMEA3851971###HPSI0714i-iudw_1	SAMEA3851971
WTSIi176-B	SAMEA3851966###HPSI0714i-iudw_4	SAMEA3851966
WTSIi177-A	SAMEA3854068###HPSI0414i-xojn_3	SAMEA3854068
WTSIi178-A	SAMEA3735541###HPSI0215i-fawm_2	SAMEA3735541
WTSIi178-B	SAMEA3754916###HPSI0215i-fawm_4	SAMEA3754916
WTSIi179-A	SAMEA3969710###HPSI0314i-wigw_2	SAMEA3969710
WTSIi180-A	SAMEA3962563###HPSI0514i-puie_4	SAMEA3962563
WTSIi180-B	SAMEA3962560###HPSI0514i-puie_5	SAMEA3962560
WTSIi181-A	SAMEA3974014###HPSI0514i-rutc_2	SAMEA3974014
WTSIi182-A	SAMEA3977051###HPSI0614i-kegd_2	SAMEA3977051
WTSIi183-A	SAMEA3854308###HPSI0414i-oaqd_2	SAMEA3854308
WTSIi183-B	SAMEA3965164###HPSI0414i-oaqd_3	SAMEA3965164
WTSIi184-A	SAMEA3963885###HPSI1014i-qayj_3	SAMEA3963885
WTSIi184-B	SAMEA3963884###HPSI1014i-qayj_4	SAMEA3963884
WTSIi185-A	SAMEA3965165###HPSI0414i-seru_7	SAMEA3965165
WTSIi186-A	SAMEA3854226###HPSI1014i-babz_3	SAMEA3854226
WTSIi187-A	SAMEA3848359###HPSI1013i-sita_1	SAMEA3848359
WTSIi188-A	SAMEA3853038###HPSI1014i-kefb_1	SAMEA3853038
WTSIi189-A	SAMEA3966392###HPSI1014i-quls_2	SAMEA3966392
WTSIi190-A	SAMEA3854215###HPSI0914i-kajh_3	SAMEA3854215
WTSIi190-B	SAMEA3853122###HPSI0914i-kajh_2	SAMEA3853122
WTSIi191-A	SAMEA3485962###HPSI0215i-oilg_3	SAMEA3485962
