HPSI0614i-laig_4	laig_4	SAMEA3977534
HPSI0714i-kute_3	kute_3	SAMEA3974245
HPSI0715i-zaie_6	zaie_6	SAMEA3973870
HPSI0715i-aowh_7	aowh_7	SAMEA3973865
HPSI0715i-meue_7	meue_7	SAMEA3973874
HPSI0213i-xeaw_2	xeaw_2	SAMEA2398023
HPSI0213i-xeaw_7	xeaw_7	SAMEA2397842
HPSI0513i-momt_1	momt_1	SAMEA2398566
HPSI0316i-ierp_5	ierp_5	SAMEA4447304
HPSI0814i-siqu_2	siqu_2	SAMEA4091332
HPSI0813i-peoj_2	peoj_2	SAMEA4451500
HPSI0514i-oekw_4	oekw_4	SAMEA3966030
HPSI0514i-oupf_1	oupf_1	SAMEA4451099
HPSI0314i-kujn_4	kujn_4	SAMEA4448213
HPSI0316i-qeti_5	qeti_5	SAMEA4453782
HPSI0914i-vaka_3	vaka_3	SAMEA3853167
HPSI0216i-tony_4	tony_4	SAMEA4448541
HPSI0614i-wihj_8	wihj_8	SAMEA4340459
HPSI0115i-paim_2	paim_2	SAMEA4448540
HPSI0914i-rejf_3	rejf_3	SAMEA3962629
HPSI0414i-sebn_6	sebn_6	SAMEA3962526
HPSI0714i-pipw_6	pipw_6	SAMEA3964245
HPSI1014i-tixi_6	tixi_6	SAMEA3962385
HPSI0714i-mejk_4	mejk_4	SAMEA4085204
HPSI0214i-poih_1	poih_1	SAMEA3968760
HPSI0314i-wigw_5	wigw_5	SAMEA3969713
HPSI1014i-kefb_6	kefb_6	SAMEA3854224
HPSI1013i-sita_3	sita_3	SAMEA3848357
HPSI0414i-zazi_1	zazi_1	SAMEA3976797
HPSI1213i-tolg_5	tolg_5	SAMEA3974242
HPSI0414i-oikd_1	oikd_1	SAMEA4446773
HPSI0614i-denw_5	denw_5	SAMEA3854231
HPSI1013i-zagm_3	zagm_3	SAMEA4303621
HPSI0914i-gine_3	gine_3	SAMEA3847978
HPSI0914i-suop_4	suop_4	SAMEA4343053
HPSI0614i-oicx_1	oicx_1	SAMEA3968773
HPSI1014i-nosn_3	nosn_3	SAMEA3964908
HPSI0115i-iiyk_1	iiyk_1	SAMEA4303611
HPSI0514i-naah_1	naah_1	SAMEA3854059
HPSI0614i-gawh_11	gawh_11	SAMEA4091772
HPSI0613i-riiv_2	riiv_2	SAMEA2469772
HPSI0614i-wihj_3	wihj_3	SAMEA4339704
HPSI0814i-siqu_7	siqu_7	SAMEA4092052
HPSI0716i-tupw_5	tupw_5	SAMEA104009803
HPSI0816i-kije_2	kije_2	SAMEA104009784
HPSI0716i-tupw_10	tupw_10	SAMEA104010845
